iter	Logloss
0	0.6448350708
1	0.6055493131
2	0.5726776109
3	0.5457306954
4	0.5226333641
5	0.5032340398
6	0.4863735392
7	0.4723826214
8	0.4606689148
9	0.4500464222
10	0.440875938
11	0.4331181709
12	0.4261258497
13	0.4199898211
14	0.415068614
15	0.410662511
16	0.4069652339
17	0.4036938543
18	0.4006959246
19	0.3979694882
20	0.3957465375
21	0.3937890134
22	0.3919500072
23	0.3904476507
24	0.3890981732
25	0.3880225332
26	0.3868068086
27	0.385971968
28	0.3852045885
29	0.3843553478
30	0.3837947381
31	0.3831841144
32	0.3825474977
33	0.3817251285
34	0.3808614197
35	0.3802808376
36	0.3797525762
37	0.3791378677
38	0.3787448817
39	0.3783945188
40	0.378044275
41	0.3776729678
42	0.3772483868
43	0.376908713
44	0.3765679463
45	0.3762061733
46	0.3759721867
47	0.3757684903
48	0.3755511738
49	0.3753430639
50	0.3751606997
51	0.3750506904
52	0.374847722
53	0.3746497102
54	0.3744982092
55	0.3743344115
56	0.3742443748
57	0.3740791358
58	0.3739216744
59	0.3737819248
60	0.3736877831
61	0.3735911441
62	0.3735196368
63	0.3733847462
64	0.373328253
65	0.3732008586
66	0.3731091046
67	0.373066724
68	0.3729655476
69	0.3728744867
70	0.3727779569
71	0.3726674362
72	0.3725860626
73	0.3724960785
74	0.3724319822
75	0.372359787
76	0.372304825
77	0.3722231697
78	0.3721016898
79	0.3720215107
80	0.3719279098
81	0.3718693505
82	0.3717642593
83	0.3716766402
84	0.3716481133
85	0.3715760598
86	0.3715072544
87	0.3714606365
88	0.3713845754
89	0.3713339545
90	0.3713018199
91	0.371233554
92	0.3711882239
93	0.3711547965
94	0.3711388882
95	0.3710880919
96	0.371061009
97	0.3710311288
98	0.3709705224
99	0.3709299375
