iter	Passed	Remaining
0	76	7599
1	154	7566
2	213	6909
3	283	6811
4	353	6717
5	415	6502
6	475	6312
7	531	6115
8	592	5992
9	655	5902
10	714	5780
11	772	5668
12	833	5578
13	898	5518
14	962	5453
15	1033	5425
16	1098	5363
17	1163	5300
18	1229	5242
19	1294	5179
20	1356	5101
21	1417	5026
22	1482	4963
23	1555	4925
24	1619	4859
25	1690	4811
26	1755	4746
27	1819	4678
28	1892	4633
29	1959	4572
30	2018	4493
31	2079	4419
32	2139	4344
33	2212	4294
34	2275	4226
35	2334	4150
36	2401	4088
37	2459	4013
38	2522	3946
39	2588	3882
40	2649	3813
41	2709	3741
42	2769	3671
43	2827	3599
44	2889	3531
45	2949	3462
46	3011	3395
47	3073	3329
48	3132	3259
49	3190	3190
50	3248	3121
51	3319	3063
52	3377	2994
53	3436	2927
54	3497	2861
55	3556	2794
56	3617	2728
57	3674	2660
58	3736	2596
59	3797	2531
60	3858	2466
61	3916	2400
62	3972	2333
63	4032	2268
64	4090	2202
65	4149	2137
66	4205	2071
67	4269	2009
68	4331	1945
69	4389	1881
70	4453	1819
71	4513	1755
72	4573	1691
73	4632	1627
74	4694	1564
75	4753	1500
76	4813	1437
77	4876	1375
78	4933	1311
79	4993	1248
80	5050	1184
81	5109	1121
82	5169	1058
83	5227	995
84	5285	932
85	5344	869
86	5406	807
87	5465	745
88	5523	682
89	5580	620
90	5640	557
91	5698	495
92	5757	433
93	5815	371
94	5876	309
95	5938	247
96	5998	185
97	6058	123
98	6116	61
99	6176	0
